tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0063906	tvMiniSeries	Goya	Goya	0	1969	\N	190	['Biography', 'Drama']
tt0063908	tvSeries	Hee Haw	Hee Haw	0	1969	1997	60	['Comedy', 'Music']
tt0063920	tvSeries	Der Kommissar	Der Kommissar	0	1969	1976	60	['Crime', 'Drama']
tt0063959	tvSeries	To Tell the Truth	To Tell the Truth	0	1969	1978	30	['Family', 'Game-Show']
tt0063984	movie	The Activist	The Activist	0	1969	\N	87	['Drama']
tt0063997	tvMovie	Al Capone im deutschen Wald	Al Capone im deutschen Wald	0	1969	\N	135	['Drama']
tt0064050	tvMovie	Der Attentäter	Der Attentäter	0	1969	\N	90	['Drama', 'History', 'War']
tt0064127	movie	The Cannon and the Nightingale	To kanoni kai t' aidoni	0	1968	\N	105	['Comedy', 'Drama', 'War']
tt0064414	movie	Helgalein	Helgalein	0	1969	\N	93	['\\N']
tt0064513	movie	John and Mary	John and Mary	0	1969	\N	92	['Drama', 'Romance']
tt0065271	tvSeries	Albert and Victoria	Albert and Victoria	0	1970	1971	30	['Comedy']
tt0065313	tvSeries	Nase malo misto	Nase malo misto	0	1969	1971	55	['Comedy', 'Drama']
tt0065354	tvMiniSeries	Wie ein Blitz	Wie ein Blitz	0	1970	\N	220	['Action', 'Crime', 'Thriller']
tt0065724	movie	Five Easy Pieces	Five Easy Pieces	0	1970	\N	98	['Drama']
tt0066666	tvSeries	The Guardians	The Guardians	0	1971	1971	60	['Drama', 'Sci-Fi', 'Thriller']
tt0066719	tvSeries	Strange Report	Strange Report	0	1969	1971	60	['Drama', 'Mystery']
tt0067217	movie	The Hospital	The Hospital	0	1971	\N	103	['Comedy', 'Drama', 'Mystery']
tt0067603	tvMovie	Der Pott	Der Pott	0	1971	\N	110	['Drama']
tt0067800	movie	Straw Dogs	Straw Dogs	0	1971	\N	113	['Crime', 'Drama', 'Thriller']
tt0067907	movie	Unman, Wittering and Zigo	Unman, Wittering and Zigo	0	1971	\N	102	['Action', 'Drama', 'Thriller']
